,time,open,high,low,close,tick_volume,spread,real_volume,ema_7,ema_21,ema_89,ema_200,time_sin,time_cos,price_diff,trendline_7,trendline_21,trendline_89,trendline_200,trend_7,trend_21,trend_89,trend_200,close_minus_trendline_7,close_minus_trendline_21,close_minus_trendline_89,close_minus_trendline_200,close_minus_ema7,close_minus_ema21,close_minus_ema89,close_minus_ema200
56,2011-04-01,1432.48,1435.83,1412.74,1428.35,17715,50,0,1425.9727493085047,1419.4478229625624,1392.4286852665368,1382.2237083443426,0.0,1.0,-3.550000000000182,1425.924285714285,1424.5717748917746,0.0,0.0,1,1,-1,-1,2.425714285715003,3.7782251082253424,0.0,0.0,2.377250691495192,8.902177037437468,35.92131473346308,46.12629165565727
57,2011-04-04,1428.45,1438.53,1427.6,1433.65,14163,50,0,1427.8920619813784,1420.7389299659658,1393.344714482836,1382.7354127389262,0.0,1.0,5.300000000000182,1430.9414285714283,1427.3913419913415,0.0,0.0,1,1,-1,-1,2.7085714285717586,6.2586580086585855,0.0,0.0,5.757938018621644,12.91107003403431,40.305285517164066,50.91458726107385
58,2011-04-05,1435.55,1456.95,1429.75,1455.6,18764,50,0,1434.819046486034,1423.908118150878,1394.7281652721063,1383.4604335076933,0.0,1.0,21.949999999999818,1445.4303571428566,1434.1696103896106,0.0,0.0,1,1,-1,-1,10.169642857143344,21.430389610389284,0.0,0.0,20.78095351396587,31.691881849121955,60.871834727893656,72.13956649230659
59,2011-04-06,1454.43,1462.0,1451.2,1459.35,19194,50,0,1440.9517848645255,1427.130107409889,1396.1642060438373,1384.2155535722936,0.0,1.0,3.75,1456.1589285714276,1441.0136796536794,0.0,0.0,1,1,-1,-1,3.191071428572286,18.336320346320463,0.0,0.0,18.398215135474402,32.21989259011093,63.18579395616257,75.13444642770628
60,2011-04-07,1459.15,1464.7,1452.4,1457.8,14932,50,0,1445.1638386483942,1429.9182794635353,1397.5338903539744,1384.9477371188382,0.0,1.0,-1.5499999999999545,1461.4374999999998,1447.3718181818178,0.0,0.0,1,1,-1,-1,-3.637499999999818,10.42818181818211,0.0,0.0,12.636161351605779,27.881720536464627,60.2661096460256,72.85226288116178
61,2011-04-08,1457.85,1474.83,1456.25,1474.53,14841,50,0,1452.5053789862957,1433.9738904213957,1399.2449150127748,1385.8391029186507,0.0,1.0,16.730000000000018,1471.5067857142851,1454.5190043290045,0.0,0.0,1,1,-1,-1,3.0232142857148574,20.0109956709955,0.0,0.0,22.02462101370429,40.556109578604264,75.28508498722522,88.69089708134925
62,2011-04-11,1475.2,1476.2,1459.25,1462.9,16904,50,0,1455.1040342397218,1436.6035367467234,1400.6594724569352,1386.6058780139876,0.0,1.0,-11.629999999999882,1473.269642857143,1459.3303896103896,0.0,0.0,1,1,-1,-1,-10.369642857142935,3.5696103896104887,0.0,0.0,7.79596576027825,26.29646325327667,62.2405275430649,76.29412198601244
63,2011-04-12,1462.5,1467.2,1445.63,1452.6,20122,50,0,1454.4780256797912,1438.0577606788395,1401.8137064023365,1387.2625359441968,0.0,1.0,-10.300000000000182,1465.9146428571428,1462.3563203463204,0.0,0.0,-1,1,-1,-1,-13.314642857142871,-9.756320346320535,0.0,0.0,-1.8780256797913353,14.542239321160423,50.786293597663416,65.33746405580314
64,2011-04-13,1452.35,1462.1,1451.1,1456.97,22590,50,0,1455.1010192598435,1439.7770551625813,1403.039401815618,1387.9561425517172,0.0,1.0,4.370000000000118,1459.5046428571425,1463.4944155844157,0.0,0.0,-1,1,-1,-1,-2.534642857142444,-6.524415584415692,0.0,0.0,1.8689807401565304,17.192944837418736,53.930598184382006,69.0138574482828
65,2011-04-14,1456.18,1474.55,1452.3,1473.75,23550,50,0,1459.7632644448827,1442.8655046932556,1404.6107484419376,1388.8098127750834,0.0,1.0,16.779999999999973,1464.658214285714,1466.8267965367959,0.0,0.0,1,1,-1,-1,9.091785714286061,6.923203463204118,0.0,0.0,13.98673555511732,30.884495306744384,69.13925155806237,84.9401872249166
66,2011-04-15,1476.85,1487.85,1471.34,1486.35,18501,50,0,1466.4099483336622,1446.8186406302325,1406.427176254339,1389.7803619016995,0.0,1.0,12.599999999999909,1474.788571428571,1471.687922077922,0.0,0.0,1,1,-1,-1,11.561428571428905,14.66207792207797,0.0,0.0,19.940051666337695,39.531359369767415,79.92282374566093,96.5696380983004
67,2011-04-18,1485.3,1497.4,1477.3,1495.0,15084,50,0,1473.5574612502467,1451.1987642093022,1408.3954612264647,1390.8273234748171,0.0,1.0,8.650000000000091,1485.5992857142855,1478.5196969696967,0.0,0.0,1,1,-1,-1,9.400714285714457,16.480303030303276,0.0,0.0,21.44253874975334,43.801235790697774,86.6045387735353,104.17267652518285
68,2011-04-19,1495.9,1498.95,1489.4,1496.65,2327,50,0,1479.3305959376848,1455.3306947357291,1410.3566731992098,1391.8802854302917,0.0,1.0,1.650000000000091,1497.9703571428568,1485.464502164502,0.0,0.0,1,1,-1,-1,-1.3203571428566647,11.185497835498154,0.0,0.0,17.319404062315243,41.31930526427095,86.29332680079028,104.76971456970841
69,2011-04-20,1499.55,1505.65,1495.83,1502.1,2330,50,0,1485.0229469532637,1459.5824497597537,1412.395413794783,1392.9769990081,0.0,1.0,5.449999999999818,1507.1789285714278,1492.6174025974024,0.0,0.0,1,1,-1,-1,-5.078928571427923,9.482597402597548,0.0,0.0,17.077053046736182,42.51755024024624,89.70458620521686,109.12300099189997
70,2011-04-21,1507.6,1507.95,1501.95,1504.95,905,0,0,1490.0047102149476,1463.7067725088668,1414.4521823771213,1394.0911582219496,0.0,1.0,2.8500000000001364,1510.5678571428564,1500.2168831168829,0.0,0.0,1,1,-1,-1,-5.617857142856337,4.733116883117191,0.0,0.0,14.94528978505241,41.24322749113321,90.49781762287876,110.85884177805042
71,2011-04-25,1516.23,1517.98,1503.18,1508.43,1242,75,0,1494.6110326612109,1467.7725204626063,1416.5405783242963,1395.2288581401392,0.0,1.0,3.480000000000018,1511.212142857143,1506.894632034632,0.0,0.0,1,1,-1,-1,-2.782142857142844,1.5353679653680956,0.0,0.0,13.818967338789207,40.65747953739378,91.88942167570372,113.20114185986085
